x_m,y_m,z_m,value_path_gain_linear,is_inside,is_valid
-14.314044952392578,-9.918306350708008,1.5,1.0083441566166584e-06,True,True
-13.314044952392578,-9.918306350708008,1.5,1.0054396852865466e-06,True,True
-12.314044952392578,-9.918306350708008,1.5,8.75840498792968e-07,True,True
-11.314044952392578,-9.918306350708008,1.5,8.332654601872491e-07,True,True
-10.314044952392578,-9.918306350708008,1.5,8.636205848233658e-07,True,True
-9.314044952392578,-9.918306350708008,1.5,7.629825518051803e-07,True,True
-8.314044952392578,-9.918306350708008,1.5,7.56223528242117e-07,True,True
-7.314044952392578,-9.918306350708008,1.5,9.581751783116488e-07,True,True
-6.314044952392578,-9.918306350708008,1.5,7.140797606552951e-07,True,True
-5.314044952392578,-9.918306350708008,1.5,6.661781526418054e-07,True,True
-4.314044952392578,-9.918306350708008,1.5,7.351989665949077e-07,True,True
-3.314044952392578,-9.918306350708008,1.5,5.769473432337691e-07,True,True
-2.314044952392578,-9.918306350708008,1.5,7.38451603865542e-07,True,True
-1.3140449523925781,-9.918306350708008,1.5,8.896253689272271e-07,True,True
-0.3140449523925781,-9.918306350708008,1.5,8.243335400948126e-07,True,True
-14.314044952392578,-8.918306350708008,1.5,9.215823411068413e-07,True,True
-13.314044952392578,-8.918306350708008,1.5,9.511522875982337e-07,True,True
-12.314044952392578,-8.918306350708008,1.5,8.147844710038044e-07,True,True
-11.314044952392578,-8.918306350708008,1.5,7.253892704284226e-07,True,True
-10.314044952392578,-8.918306350708008,1.5,7.55623204895528e-07,True,True
-9.314044952392578,-8.918306350708008,1.5,7.350846544795786e-07,True,True
-8.314044952392578,-8.918306350708008,1.5,7.704684321652167e-07,True,True
-7.314044952392578,-8.918306350708008,1.5,8.651715575069829e-07,True,True
-6.314044952392578,-8.918306350708008,1.5,8.338362249560305e-07,True,True
-5.314044952392578,-8.918306350708008,1.5,7.794025691509887e-07,True,True
-4.314044952392578,-8.918306350708008,1.5,6.254822437767871e-07,True,True
-3.314044952392578,-8.918306350708008,1.5,5.538731215892767e-07,True,True
-2.314044952392578,-8.918306350708008,1.5,7.547845939370745e-07,True,True
-1.3140449523925781,-8.918306350708008,1.5,5.946815804236394e-07,True,True
-0.3140449523925781,-8.918306350708008,1.5,8.166907150553016e-07,True,True
-14.314044952392578,-7.918306350708008,1.5,9.520745152258314e-07,True,True
-13.314044952392578,-7.918306350708008,1.5,8.800563477961987e-07,True,True
-12.314044952392578,-7.918306350708008,1.5,7.326268018914561e-07,True,True
-11.314044952392578,-7.918306350708008,1.5,7.283061336238461e-07,True,True
-10.314044952392578,-7.918306350708008,1.5,8.597205578553258e-07,True,True
-9.314044952392578,-7.918306350708008,1.5,8.06810135145497e-07,True,True
-8.314044952392578,-7.918306350708008,1.5,1.0420513945064158e-06,True,True
-7.314044952392578,-7.918306350708008,1.5,1.3718873788093333e-06,True,True
-6.314044952392578,-7.918306350708008,1.5,1.2767220596288098e-06,True,True
-5.314044952392578,-7.918306350708008,1.5,1.1944774769290234e-06,True,True
-4.314044952392578,-7.918306350708008,1.5,7.195343414423405e-07,True,True
-3.314044952392578,-7.918306350708008,1.5,5.663611091222265e-07,True,True
-2.314044952392578,-7.918306350708008,1.5,6.105991019467183e-07,True,True
-1.3140449523925781,-7.918306350708008,1.5,7.638566330570029e-07,True,True
-0.3140449523925781,-7.918306350708008,1.5,5.777943101747951e-07,True,True
-14.314044952392578,-6.918306350708008,1.5,9.886025509331375e-07,True,True
-13.314044952392578,-6.918306350708008,1.5,7.637083854206139e-07,True,True
-12.314044952392578,-6.918306350708008,1.5,6.990991892052989e-07,True,True
-11.314044952392578,-6.918306350708008,1.5,7.18553224032803e-07,True,True
-10.314044952392578,-6.918306350708008,1.5,8.814212719698844e-07,True,True
-9.314044952392578,-6.918306350708008,1.5,1.1699100923578953e-06,True,True
-8.314044952392578,-6.918306350708008,1.5,1.7734865878082928e-06,True,True
-7.314044952392578,-6.918306350708008,1.5,2.5077206373680383e-06,True,True
-6.314044952392578,-6.918306350708008,1.5,2.4823491457937052e-06,True,True
-5.314044952392578,-6.918306350708008,1.5,1.9026376776309917e-06,True,True
-4.314044952392578,-6.918306350708008,1.5,1.11953431769507e-06,True,True
-3.314044952392578,-6.918306350708008,1.5,7.034561235741421e-07,True,True
-2.314044952392578,-6.918306350708008,1.5,5.188358045415953e-07,True,True
-1.3140449523925781,-6.918306350708008,1.5,5.952431365585653e-07,True,True
-0.3140449523925781,-6.918306350708008,1.5,5.557131430578011e-07,True,True
-14.314044952392578,-5.918306350708008,1.5,8.579361292504473e-07,True,True
-13.314044952392578,-5.918306350708008,1.5,8.176284040928294e-07,True,True
-12.314044952392578,-5.918306350708008,1.5,7.391816438939713e-07,True,True
-11.314044952392578,-5.918306350708008,1.5,7.364438943113782e-07,True,True
-10.314044952392578,-5.918306350708008,1.5,1.0827156984305475e-06,True,True
-9.314044952392578,-5.918306350708008,1.5,1.700337634247262e-06,True,True
-8.314044952392578,-5.918306350708008,1.5,3.2233726869890234e-06,True,True
-7.314044952392578,-5.918306350708008,1.5,4.529207672021585e-06,True,True
-6.314044952392578,-5.918306350708008,1.5,4.637384336092509e-06,True,True
-5.314044952392578,-5.918306350708008,1.5,3.256657919337158e-06,True,True
-4.314044952392578,-5.918306350708008,1.5,6.222666115718312e-07,True,True
-3.314044952392578,-5.918306350708008,1.5,5.388413910623058e-07,True,True
-2.314044952392578,-5.918306350708008,1.5,6.162565568956779e-07,True,True
-1.3140449523925781,-5.918306350708008,1.5,4.6337410708474636e-07,True,True
-0.3140449523925781,-5.918306350708008,1.5,5.171373800294532e-07,True,True
-14.314044952392578,-4.918306350708008,1.5,1.0285501730322721e-06,True,True
-13.314044952392578,-4.918306350708008,1.5,7.723368753431714e-07,True,True
-12.314044952392578,-4.918306350708008,1.5,8.438132113042229e-07,True,True
-11.314044952392578,-4.918306350708008,1.5,7.802219101904484e-07,True,True
-10.314044952392578,-4.918306350708008,1.5,1.1810121804955998e-06,True,True
-9.314044952392578,-4.918306350708008,1.5,2.1578998712357134e-06,True,True
-8.314044952392578,-4.918306350708008,1.5,4.214544787828345e-06,True,True
-7.314044952392578,-4.918306350708008,1.5,6.766932983737206e-06,True,True
-6.314044952392578,-4.918306350708008,1.5,0.008370963856577873,True,True
-5.314044952392578,-4.918306350708008,1.5,4.466407062864164e-06,True,True
-4.314044952392578,-4.918306350708008,1.5,3.355382887093583e-07,True,True
-3.314044952392578,-4.918306350708008,1.5,4.6979769763311197e-07,True,True
-2.314044952392578,-4.918306350708008,1.5,5.389323973759019e-07,True,True
-1.3140449523925781,-4.918306350708008,1.5,5.446312911772111e-07,True,True
-0.3140449523925781,-4.918306350708008,1.5,5.476737214848981e-07,True,True
-14.314044952392578,-3.918306350708008,1.5,1.0237662309009465e-06,True,True
-13.314044952392578,-3.918306350708008,1.5,7.500192396037164e-07,True,True
-12.314044952392578,-3.918306350708008,1.5,9.438636539016443e-07,True,True
-11.314044952392578,-3.918306350708008,1.5,7.322265673792572e-07,True,True
-10.314044952392578,-3.918306350708008,1.5,1.1008498859155225e-06,True,True
-9.314044952392578,-3.918306350708008,1.5,1.9647852695925394e-06,True,True
-8.314044952392578,-3.918306350708008,1.5,4.109906512894668e-06,True,True
-7.314044952392578,-3.918306350708008,1.5,6.557223059644457e-06,True,True
-6.314044952392578,-3.918306350708008,1.5,6.5717399593268055e-06,True,True
-5.314044952392578,-3.918306350708008,1.5,4.344123226474039e-06,True,True
-4.314044952392578,-3.918306350708008,1.5,3.9598117496097984e-07,True,True
-3.314044952392578,-3.918306350708008,1.5,5.125519919602084e-07,True,True
-2.314044952392578,-3.918306350708008,1.5,5.251569064057549e-07,True,True
-1.3140449523925781,-3.918306350708008,1.5,5.168710686120903e-07,True,True
-0.3140449523925781,-3.918306350708008,1.5,6.495734510281181e-07,True,True
-14.314044952392578,-2.918306350708008,1.5,9.415180670657719e-07,True,True
-13.314044952392578,-2.918306350708008,1.5,8.923237260205497e-07,True,True
-12.314044952392578,-2.918306350708008,1.5,8.14634347534593e-07,True,True
-11.314044952392578,-2.918306350708008,1.5,8.551450036975439e-07,True,True
-10.314044952392578,-2.918306350708008,1.5,1.0014706504080095e-06,True,True
-9.314044952392578,-2.918306350708008,1.5,1.4592592378903646e-06,True,True
-8.314044952392578,-2.918306350708008,1.5,2.7875512387254275e-06,True,True
-7.314044952392578,-2.918306350708008,1.5,4.111704583920073e-06,True,True
-6.314044952392578,-2.918306350708008,1.5,4.239124336891109e-06,True,True
-5.314044952392578,-2.918306350708008,1.5,3.5591658615885535e-06,True,True
-4.314044952392578,-2.918306350708008,1.5,9.91189040178142e-07,True,True
-3.314044952392578,-2.918306350708008,1.5,7.274401809809206e-07,True,True
-2.314044952392578,-2.918306350708008,1.5,5.327329404281045e-07,True,True
-1.3140449523925781,-2.918306350708008,1.5,5.290221452014521e-07,True,True
-0.3140449523925781,-2.918306350708008,1.5,5.062587433712906e-07,True,True
-14.314044952392578,-1.9183063507080078,1.5,1.0530485496929032e-06,True,True
-13.314044952392578,-1.9183063507080078,1.5,1.1081491493314388e-06,True,True
-12.314044952392578,-1.9183063507080078,1.5,9.454598171032558e-07,True,True
