row,column,value_path_gain_linear,is_inside,is_valid
0,0,1.0606868272589054e-06,True,True
0,1,1.0665477248039679e-06,True,True
0,2,1.017824502014264e-06,True,True
0,3,9.250006769434549e-07,True,True
0,4,1.0646665487001883e-06,True,True
0,5,9.440144026484631e-07,True,True
0,6,9.224261248164112e-07,True,True
0,7,1.0597564141789917e-06,True,True
0,8,7.925572731437569e-07,True,True
0,9,8.066839995990449e-07,True,True
0,10,9.949948207577108e-07,True,True
0,11,9.227733812622319e-07,True,True
0,12,9.859197689365828e-07,True,True
0,13,1.172814677374845e-06,True,True
0,14,1.0520810747038922e-06,True,True
1,0,9.831182978814468e-07,True,True
1,1,1.0350731827202253e-06,True,True
1,2,9.064030450645078e-07,True,True
1,3,7.863494602133869e-07,True,True
1,4,8.860181424097391e-07,True,True
1,5,8.349878726221505e-07,True,True
1,6,9.083585155167384e-07,True,True
1,7,1.062777528204606e-06,True,True
1,8,1.0111210713148466e-06,True,True
1,9,8.809049063529528e-07,True,True
1,10,8.206940833588305e-07,True,True
1,11,8.272739933090634e-07,True,True
1,12,9.87330622592708e-07,True,True
1,13,8.552867143407639e-07,True,True
1,14,1.1677716429403517e-06,True,True
2,0,1.0856805374714895e-06,True,True
2,1,1.0454135690451949e-06,True,True
2,2,8.917831451071834e-07,True,True
2,3,8.138108569255564e-07,True,True
2,4,9.560679927744786e-07,True,True
2,5,9.341678719465563e-07,True,True
2,6,1.1396579111533356e-06,True,True
2,7,1.4885283690091455e-06,True,True
2,8,1.417355065314041e-06,True,True
2,9,1.3164666370357736e-06,True,True
2,10,9.7870315585169e-07,True,True
2,11,8.028163165363367e-07,True,True
2,12,8.373209539058735e-07,True,True
2,13,1.0365865819039755e-06,True,True
2,14,9.364686661683663e-07,True,True
3,0,1.069473682946409e-06,True,True
3,1,8.165989129338413e-07,True,True
3,2,7.827947570149263e-07,True,True
3,3,9.462314096708724e-07,True,True
3,4,1.0671850532162352e-06,True,True
3,5,1.3147948720870772e-06,True,True
3,6,1.919899432323291e-06,True,True
3,7,2.6278476070729084e-06,True,True
3,8,2.6215916477667633e-06,True,True
3,9,1.9828619315376272e-06,True,True
3,10,1.354179289592139e-06,True,True
3,11,1.0451070693306974e-06,True,True
3,12,7.94219772615179e-07,True,True
3,13,8.767325425651507e-07,True,True
3,14,9.265614266951161e-07,True,True
4,0,9.042943247550284e-07,True,True
4,1,8.965126880866592e-07,True,True
4,2,8.140843874571146e-07,True,True
4,3,7.913590138741711e-07,True,True
4,4,1.1962506505369674e-06,True,True
4,5,1.8851010281650815e-06,True,True
4,6,3.3786327549023554e-06,True,True
4,7,4.666616860049544e-06,True,True
4,8,4.783107669936726e-06,True,True
4,9,3.338358737892122e-06,True,True
4,10,1.8152702523366315e-06,True,True
4,11,1.1289964731986402e-06,True,True
4,12,9.438073220735532e-07,True,True
4,13,8.329707270604558e-07,True,True
4,14,9.187958198708657e-07,True,True
5,0,1.1017006045221933e-06,True,True
5,1,8.424865995948494e-07,True,True
5,2,9.152152529168234e-07,True,True
5,3,8.615130013822636e-07,True,True
5,4,1.2864408063251176e-06,True,True
5,5,2.265256171085639e-06,True,True
5,6,4.349481059762184e-06,True,True
5,7,6.9075863393663894e-06,True,True
5,8,0.008371124044060707,True,True
5,9,4.686115971708205e-06,True,True
5,10,2.3354498353000963e-06,True,True
5,11,1.2103860171919223e-06,True,True
5,12,9.7761937922769e-07,True,True
5,13,9.089916375160101e-07,True,True
5,14,9.358551551486016e-07,True,True
6,0,1.112404447667359e-06,True,True
6,1,8.257417221102514e-07,True,True
6,2,1.0080303809445468e-06,True,True
6,3,8.507565212312329e-07,True,True
6,4,1.1770326864279923e-06,True,True
6,5,2.1037083115515998e-06,True,True
6,6,4.193446784483967e-06,True,True
6,7,6.698212928313296e-06,True,True
6,8,6.729078904754715e-06,True,True
6,9,4.5170959310780745e-06,True,True
6,10,2.2911669930181233e-06,True,True
6,11,1.2780833458236884e-06,True,True
6,12,9.040460327014443e-07,True,True
6,13,9.05566992059903e-07,True,True
6,14,1.1151172429890721e-06,True,True
7,0,1.11219083009928e-06,True,True
7,1,1.008216145237384e-06,True,True
7,2,8.916271099224105e-07,True,True
7,3,9.392208539793501e-07,True,True
7,4,1.1095597756138886e-06,True,True
7,5,1.5505497685808223e-06,True,True
7,6,2.9497493869712343e-06,True,True
7,7,4.262819402356399e-06,True,True
7,8,4.404330866236705e-06,True,True
7,9,3.690594667205005e-06,True,True
7,10,1.8216525177194853e-06,True,True
7,11,1.263013814423175e-06,True,True
7,12,9.323353538093215e-07,True,True
7,13,9.156716487268568e-07,True,True
7,14,9.459963052904641e-07,True,True
8,0,1.1261489589742268e-06,True,True
8,1,1.1886844504260807e-06,True,True
8,2,1.0323158221581252e-06,True,True
8,3,9.597259804650093e-07,True,True
8,4,9.541502095089527e-07,True,True
8,5,1.3730108321396983e-06,True,True
8,6,1.770852463778283e-06,True,True
8,7,2.207010766142048e-06,True,True
8,8,2.2442009139922448e-06,True,True
8,9,2.0876752842013957e-06,True,True
8,10,1.719317992865399e-06,True,True
8,11,1.1552580190254957e-06,True,True
8,12,1.1347938198014162e-06,True,True
8,13,9.521065749140689e-07,True,True
8,14,1.1529343737493036e-06,True,True
9,0,1.3104483969073044e-06,True,True
9,1,1.0331530120311072e-06,True,True
9,2,1.052253878697229e-06,True,True
9,3,1.0839883088920033e-06,True,True
9,4,1.0517551345401444e-06,True,True
9,5,1.0905774843195104e-06,True,True
9,6,1.2394883697197656e-06,True,True
9,7,1.4050167465029517e-06,True,True
9,8,1.376019895360514e-06,True,True
9,9,1.1771771823987365e-06,True,True
9,10,1.071664314622467e-06,True,True
9,11,1.4950817330827704e-06,True,True
9,12,1.5784220295245177e-06,True,True
9,13,1.7197714896610705e-06,True,True
9,14,1.129014094658487e-06,True,True
10,0,9.152556117442145e-07,False,False
10,1,8.530761874681048e-07,False,False
10,2,9.127582529799838e-07,False,False
10,3,9.722967888592393e-07,False,False
10,4,9.788388979359297e-07,False,False
10,5,1.0003499255617498e-06,False,False
10,6,1.1771685421990696e-06,False,False
10,7,1.263824856323481e-06,False,False
10,8,1.2344053175183944e-06,False,False
10,9,1.2137199973949464e-06,False,False
10,10,1.1311848311379435e-06,False,False
10,11,1.224030143021082e-06,False,False
10,12,1.2469110970414476e-06,False,False
10,13,1.2488192169257673e-06,False,False
10,14,1.4747145087312674e-06,True,True
